Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Age,Customer_Gender,Region,Country,Product_Category,Product_Name,Quantity,Unit_Price,Discount_Percentage,Total_Sales,Profit_Margin_Pct,Profit_Value
ORD-000018,2024-01-12,CUST-00832,Oliver Schmidt,27,Male,Latin America,Argentina,Clothing,Uniqlo Down Jacket,4,112.42,2.0,440.69,42.9,189.06
ORD-000019,2024-01-13,CUST-00264,John Harris,23,Female,Latin America,Argentina,Clothing,H&M Cotton T-Shirt Pack,3,31.79,7.0,88.69,53.2,47.18
ORD-000020,2024-01-13,CUST-01380,Laila Young,32,Male,North America,USA,Sports & Outdoors,Coleman 4-Person Camping Tent,2,148.45,11.0,264.24,26.0,68.7
ORD-000021,2024-01-13,CUST-01762,Wei White,30,Male,Asia Pacific,South Korea,Sports & Outdoors,Camping Sleeping Bag -10°C,2,114.96,13.0,200.03,18.0,36.01
ORD-000022,2024-01-13,CUST-00973,Rafael Thompson,42,Male,North America,USA,Beauty & Personal Care,Oral-B Electric Toothbrush Pro,4,72.68,10.0,261.65,45.6,119.31
ORD-000023,2024-01-14,CUST-01258,Riley Kim,38,Male,North America,USA,Home & Kitchen,Bamboo Cutting Board Set,1,35.88,0.0,35.88,20.7,7.43
ORD-000024,2024-01-14,CUST-01128,Layla White,41,Female,Asia Pacific,South Korea,Clothing,H&M Cotton T-Shirt Pack,3,33.9,5.0,96.61,31.5,30.43
ORD-000025,2024-01-14,CUST-01335,Aiden Lee,47,Female,Latin America,Argentina,Electronics,Apple Watch Series 9,2,447.45,14.0,769.61,9.6,73.88
ORD-000026,2024-01-14,CUST-01126,Ravi Hill,45,Male,Asia Pacific,Singapore,Electronics,Samsung Galaxy S24,2,948.21,11.0,1687.81,17.7,298.74
ORD-000027,2024-01-15,CUST-00967,Jennifer Scott,45,Female,Latin America,Argentina,Clothing,Converse Chuck Taylor All Star,3,55.94,0.0,167.82,32.2,54.04
ORD-000028,2024-01-15,CUST-01195,Charles Singh,31,Male,Asia Pacific,Singapore,Electronics,Apple MacBook Air M2,2,1315.11,7.0,2446.1,19.9,486.77
ORD-000029,2024-01-15,CUST-01370,Aiden King,23,Male,North America,USA,Electronics,GoPro Hero 12,1,424.15,2.0,415.67,10.5,43.65
ORD-000030,2024-01-16,CUST-00067,Amelia Young,18,Female,North America,USA,Electronics,"LG OLED 55"" TV",1,1382.83,8.0,1272.2,8.5,108.14
ORD-000031,2024-01-16,CUST-01394,Sophia Torres,40,Male,North America,USA,Electronics,Kindle Paperwhite,2,100.68,10.0,181.22,18.0,32.62
ORD-000032,2024-01-16,CUST-00182,Barbara Flores,36,Female,Asia Pacific,South Korea,Clothing,Puma Running Shorts,1,39.78,4.0,38.19,30.5,11.65
ORD-000033,2024-01-17,CUST-01353,Riley Roberts,39,Female,North America,Canada,Electronics,Kindle Paperwhite,1,124.76,3.0,121.02,18.8,22.75
ORD-000034,2024-01-17,CUST-01254,Riley Mitchell,34,Female,Latin America,Colombia,Home & Kitchen,Nespresso Vertuo Coffee Machine,1,159.33,10.0,143.4,37.9,54.35
ORD-000035,2024-01-18,CUST-01508,Lisa Nelson,20,Male,Asia Pacific,Australia,Sports & Outdoors,Bowflex SelectTech Dumbbells,1,318.77,4.0,306.02,35.8,109.56
ORD-000036,2024-01-18,CUST-00103,Karen Flores,32,Male,Latin America,Argentina,Electronics,"LG OLED 55"" TV",2,1566.92,3.0,3039.82,13.5,410.38
ORD-000037,2024-01-18,CUST-00403,Lisa Fernandez,30,Male,Latin America,Argentina,Clothing,Tommy Hilfiger Polo Shirt,1,58.05,0.0,58.05,32.1,18.63
ORD-000038,2024-01-18,CUST-01377,Linda Thompson,48,Female,Latin America,Brazil,Electronics,iPad Pro 11-inch,2,837.59,6.0,1574.67,18.3,288.16
ORD-000039,2024-01-19,CUST-00469,Mia Mitchell,52,Female,Asia Pacific,India,Electronics,Apple MacBook Air M2,2,1164.78,0.0,2329.56,17.2,400.68
ORD-000040,2024-01-19,CUST-01723,Ali Wang,18,Female,Europe,Germany,Electronics,Dell XPS 15 Laptop,2,1188.57,14.0,2044.34,16.1,329.14
ORD-000041,2024-01-19,CUST-00773,Thomas Kim,18,Male,North America,Mexico,Clothing,Timberland Boots,4,165.01,3.0,640.24,30.2,193.35
ORD-000042,2024-01-19,CUST-00611,Lucas Wright,52,Female,North America,Canada,Beauty & Personal Care,Bioderma Micellar Water 500ml,4,18.6,1.0,73.66,49.5,36.46
ORD-000043,2024-01-19,CUST-01324,Mia Walker,45,Female,Asia Pacific,Singapore,Clothing,Levi's 501 Jeans,1,86.05,3.0,83.47,39.6,33.05
ORD-000044,2024-01-19,CUST-00234,Layla Davis,29,Female,Europe,Netherlands,Beauty & Personal Care,Bath & Body Works Candle Set,2,32.0,16.0,53.76,49.4,26.56
ORD-000045,2024-01-20,CUST-00135,Fatima Smith,62,Female,Asia Pacific,South Korea,Electronics,Sony PlayStation 5,2,562.35,0.0,1124.7,11.4,128.22
ORD-000046,2024-01-20,CUST-00705,Michael Patel,35,Male,Europe,Spain,Home & Kitchen,IKEA KALLAX Shelf Unit,2,204.08,16.0,342.85,37.9,129.94
ORD-000047,2024-01-20,CUST-00886,Layla Thompson,40,Male,Asia Pacific,South Korea,Home & Kitchen,Nespresso Vertuo Coffee Machine,3,154.33,0.0,462.99,23.0,106.49
ORD-000048,2024-01-21,CUST-01395,Robert Wright,40,Male,North America,Mexico,Electronics,Apple Watch Series 9,2,436.14,11.0,776.33,16.9,131.2
ORD-000049,2024-01-21,CUST-01545,Oliver Adams,41,Female,Middle East,Qatar,Home & Kitchen,KitchenAid Stand Mixer,3,412.85,6.0,1164.24,26.1,303.87
ORD-000050,2024-01-21,CUST-00211,Layla Baker,34,Female,Europe,Germany,Home & Kitchen,LED Desk Lamp with USB,1,35.54,0.0,35.54,27.8,9.88
ORD-000051,2024-01-22,CUST-01591,Fatima Wright,56,Male,Middle East,UAE,Clothing,Adidas Ultraboost Shoes,2,146.74,0.0,293.48,42.0,123.26
ORD-000052,2024-01-23,CUST-00324,Ahmed Singh,27,Male,North America,Canada,Sports & Outdoors,TRX Suspension Trainer,1,163.57,0.0,163.57,34.4,56.27
ORD-000053,2024-01-24,CUST-01101,Layla Mitchell,38,Male,Middle East,UAE,Beauty & Personal Care,La Mer Moisturizing Cream,2,273.02,9.0,496.9,51.0,253.42
ORD-000054,2024-01-24,CUST-00112,Amelia Green,40,Male,Middle East,Qatar,Electronics,Canon EOS R50 Camera,2,765.84,2.0,1501.05,10.2,153.11
ORD-000055,2024-01-25,CUST-01170,Sofia Kim,37,Female,North America,Canada,Sports & Outdoors,Foam Roller Set,3,37.64,5.0,107.27,22.2,23.81
ORD-000056,2024-01-26,CUST-00595,Layla Smith,41,Male,Middle East,Qatar,Beauty & Personal Care,Moroccanoil Hair Oil,4,36.2,17.0,120.18,44.4,53.36
ORD-000057,2024-01-27,CUST-00255,Carlos Santos,31,Female,North America,USA,Home & Kitchen,Cuisinart 12-Piece Cookware Set,1,215.65,2.0,211.34,39.0,82.42
ORD-000058,2024-01-27,CUST-00616,Sarah Nguyen,49,Female,Middle East,UAE,Electronics,Sony PlayStation 5,1,561.38,11.0,499.63,16.7,83.44
ORD-000059,2024-01-27,CUST-01797,Ravi Hill,45,Male,Latin America,Brazil,Beauty & Personal Care,Bath & Body Works Candle Set,5,30.31,0.0,151.55,52.9,80.17
ORD-000060,2024-01-28,CUST-00357,William Fernandez,38,Female,Middle East,Saudi Arabia,Electronics,Kindle Paperwhite,2,113.86,0.0,227.72,15.2,34.61
ORD-000061,2024-01-28,CUST-01251,Riley Garcia,23,Female,Middle East,UAE,Sports & Outdoors,TRX Suspension Trainer,3,162.12,15.0,413.41,36.6,151.31
ORD-000062,2024-01-28,CUST-01180,Susan Singh,49,Male,Asia Pacific,South Korea,Beauty & Personal Care,Moroccanoil Hair Oil,5,28.66,0.0,143.3,56.0,80.25
ORD-000063,2024-01-28,CUST-00607,Layla Carter,47,Female,Europe,Italy,Clothing,Converse Chuck Taylor All Star,4,70.41,0.0,281.64,36.5,102.8
ORD-000064,2024-02-01,CUST-01424,Noah Hill,38,Female,Asia Pacific,Australia,Electronics,iPhone 15 Pro,2,1079.28,10.0,1942.7,16.7,324.43
ORD-000065,2024-02-02,CUST-00184,Richard Müller,32,Female,Middle East,Saudi Arabia,Clothing,Ray-Ban Aviator Sunglasses,1,156.57,29.0,111.16,50.8,56.47
ORD-000066,2024-02-02,CUST-01107,Ethan Hall,39,Female,Latin America,Brazil,Home & Kitchen,LED Desk Lamp with USB,1,50.45,10.0,45.41,37.3,16.94
ORD-000067,2024-02-04,CUST-01112,Fatima Scott,51,Female,Latin America,Brazil,Sports & Outdoors,Peloton Bike+,1,2588.71,0.0,2588.71,31.0,802.5
ORD-000068,2024-02-05,CUST-01686,Richard Johnson,38,Male,Latin America,Brazil,Home & Kitchen,Air Purifier HEPA,1,212.66,1.0,210.53,37.4,78.74
ORD-000069,2024-02-05,CUST-01234,Carlos Thomas,37,Male,Latin America,Brazil,Beauty & Personal Care,The Ordinary Serum Set,5,30.55,0.0,152.75,58.2,88.9
ORD-000070,2024-02-06,CUST-01199,Ava King,32,Female,Latin America,Argentina,Sports & Outdoors,Speedo Swim Goggles,2,29.93,19.0,48.49,19.7,9.55
ORD-000071,2024-02-06,CUST-00786,Isabella Singh,24,Male,Latin America,Colombia,Home & Kitchen,Cuisinart 12-Piece Cookware Set,1,190.21,2.0,186.41,31.3,58.35
ORD-000072,2024-02-06,CUST-00432,Ravi Martin,19,Male,Middle East,Qatar,Clothing,Converse Chuck Taylor All Star,4,75.07,1.0,297.28,42.3,125.75
ORD-000073,2024-02-07,CUST-01429,Olivia Lopez,40,Male,Middle East,Saudi Arabia,Electronics,Dell XPS 15 Laptop,1,1463.23,13.0,1273.01,9.8,124.75
ORD-000074,2024-02-07,CUST-01115,William Jackson,41,Male,Asia Pacific,Australia,Clothing,Puma Running Shorts,2,41.4,7.0,77.0,53.2,40.96
ORD-000075,2024-02-07,CUST-00828,William Taylor,43,Female,Asia Pacific,South Korea,Sports & Outdoors,Camping Sleeping Bag -10°C,2,112.85,19.0,182.82,30.2,55.21
ORD-000076,2024-02-08,CUST-01273,Susan Chen,58,Male,Middle East,Saudi Arabia,Clothing,Nike Air Max 270,4,118.92,26.0,352.0,48.1,169.31
ORD-000077,2024-02-08,CUST-01366,William Carter,44,Male,Asia Pacific,Australia,Clothing,Tommy Hilfiger Polo Shirt,2,54.9,15.0,93.33,42.4,39.57
ORD-000078,2024-02-09,CUST-01071,Thomas Taylor,18,Male,North America,Canada,Home & Kitchen,Ninja Air Fryer XL,2,125.29,12.0,220.51,32.5,71.67
ORD-000079,2024-02-09,CUST-00140,Olivia Müller,43,Female,Asia Pacific,Singapore,Home & Kitchen,IKEA KALLAX Shelf Unit,3,171.45,0.0,514.35,27.7,142.47
ORD-000080,2024-02-10,CUST-00252,Linda Santos,51,Female,North America,Canada,Home & Kitchen,Cuisinart 12-Piece Cookware Set,1,245.97,17.0,204.16,32.2,65.74
ORD-000081,2024-02-10,CUST-01206,Liam Mitchell,43,Male,Latin America,Argentina,Electronics,"LG OLED 55"" TV",1,1732.08,0.0,1732.08,17.7,306.58
ORD-000082,2024-02-10,CUST-01101,Layla Mitchell,38,Male,Middle East,UAE,Electronics,Samsung Galaxy S24,1,1014.39,0.0,1014.39,10.9,110.57
ORD-000083,2024-02-11,CUST-01382,Michael Khan,44,Male,Europe,Spain,Electronics,Apple Watch Series 9,2,417.39,1.0,826.43,15.7,129.75
ORD-000084,2024-02-11,CUST-00311,Sarah Scott,18,Female,Middle East,Qatar,Home & Kitchen,Roomba i7+ Robot Vacuum,2,775.54,5.0,1473.53,36.9,543.73
ORD-000085,2024-02-12,CUST-00378,Patricia Brown,34,Female,Europe,Spain,Electronics,Sony PlayStation 5,2,497.37,15.0,845.53,11.0,93.01
ORD-000086,2024-02-12,CUST-01087,Hana Patel,20,Male,Europe,Italy,Home & Kitchen,Dyson V15 Vacuum,3,605.48,12.0,1598.47,25.8,412.41
ORD-000087,2024-02-13,CUST-00029,Noah Santos,29,Male,Latin America,Brazil,Clothing,Tommy Hilfiger Polo Shirt,2,58.57,0.0,117.14,35.5,41.58
ORD-000088,2024-02-13,CUST-01122,Jennifer Brown,30,Female,Latin America,Argentina,Clothing,Tommy Hilfiger Polo Shirt,1,63.26,17.0,52.51,36.9,19.38
ORD-000089,2024-02-13,CUST-00228,Robert Santos,57,Male,Europe,Spain,Sports & Outdoors,Foam Roller Set,3,34.92,8.0,96.38,37.3,35.95
ORD-000090,2024-02-14,CUST-00630,Isabella Singh,30,Male,Latin America,Colombia,Home & Kitchen,Cuisinart 12-Piece Cookware Set,3,258.54,0.0,775.62,26.0,201.66
ORD-000091,2024-02-14,CUST-00449,Wei Fernandez,42,Female,North America,Mexico,Electronics,Sony WH-1000XM5 Headphones,2,306.82,0.0,613.64,11.0,67.5
ORD-000092,2024-02-15,CUST-01246,James Scott,27,Male,North America,Mexico,Beauty & Personal Care,La Mer Moisturizing Cream,3,205.82,0.0,617.46,49.7,306.88
ORD-000093,2024-02-15,CUST-01444,Rafael Singh,60,Female,North America,Canada,Beauty & Personal Care,The Ordinary Serum Set,5,21.78,0.0,108.9,54.7,59.57
ORD-000094,2024-02-15,CUST-00177,Riley Schmidt,45,Male,Middle East,UAE,Clothing,Under Armour Sports Bra,3,56.09,6.0,158.17,45.3,71.65
ORD-000095,2024-02-17,CUST-01382,Michael Khan,44,Male,Europe,Spain,Electronics,Kindle Paperwhite,2,104.39,13.0,181.64,14.4,26.16
ORD-000096,2024-02-17,CUST-00760,Linda Wright,18,Male,North America,Mexico,Clothing,Calvin Klein Underwear Set,3,39.53,0.0,118.59,32.7,38.78
ORD-000097,2024-02-18,CUST-00255,Carlos Santos,31,Female,North America,USA,Sports & Outdoors,Bowflex SelectTech Dumbbells,2,289.92,14.0,498.66,23.2,115.69
ORD-000098,2024-02-18,CUST-00049,Patricia Taylor,32,Female,Middle East,UAE,Electronics,iPad Pro 11-inch,1,1014.67,0.0,1014.67,14.3,145.1
ORD-000099,2024-02-18,CUST-01027,Layla Chen,37,Female,Middle East,Qatar,Electronics,Bose SoundLink Speaker,1,221.7,0.0,221.7,9.9,21.95
ORD-000100,2024-02-18,CUST-01233,Ava Singh,18,Male,North America,USA,Sports & Outdoors,Speedo Swim Goggles,2,28.01,0.0,56.02,24.1,13.5
ORD-000101,2024-02-19,CUST-00616,Sarah Nguyen,49,Female,Middle East,UAE,Home & Kitchen,French Press Coffee Maker,3,25.46,17.0,63.4,26.0,16.48
ORD-000102,2024-02-19,CUST-01430,Isabella Singh,42,Female,Asia Pacific,South Korea,Clothing,Nike Air Max 270,4,136.01,0.0,544.04,53.3,289.97
ORD-000103,2024-02-20,CUST-00076,Oliver Müller,18,Male,Europe,France,Home & Kitchen,Philips Hue Smart Bulb Set,2,58.37,6.0,109.74,39.8,43.68
ORD-000104,2024-02-21,CUST-01506,Susan Martin,23,Female,North America,Canada,Electronics,Sony WH-1000XM5 Headphones,2,356.56,13.0,620.41,15.5,96.16
ORD-000105,2024-02-21,CUST-01646,Ali Harris,57,Female,North America,USA,Home & Kitchen,KitchenAid Stand Mixer,1,418.25,17.0,347.15,35.0,121.5
ORD-000106,2024-02-21,CUST-01333,Sophia Nelson,29,Male,Asia Pacific,Japan,Electronics,iPad Pro 11-inch,1,857.74,13.0,746.23,19.1,142.53
ORD-000107,2024-02-21,CUST-01089,Ethan Walker,42,Female,North America,Canada,Sports & Outdoors,Hydro Flask 32oz Water Bottle,3,44.46,0.0,133.38,19.0,25.34
ORD-000108,2024-02-22,CUST-01710,Sofia Allen,30,Male,Europe,France,Sports & Outdoors,Camping Sleeping Bag -10°C,1,106.89,0.0,106.89,29.6,31.64
ORD-000109,2024-02-22,CUST-01244,Sophia Patel,40,Female,Asia Pacific,Australia,Sports & Outdoors,Bowflex SelectTech Dumbbells,1,332.62,0.0,332.62,33.3,110.76
ORD-000110,2024-02-23,CUST-00804,Priya Flores,41,Male,Middle East,UAE,Electronics,Sony WH-1000XM5 Headphones,2,240.84,8.0,443.15,12.8,56.72
ORD-000111,2024-02-23,CUST-01541,Mason Müller,58,Female,Latin America,Colombia,Clothing,Nike Air Max 270,3,141.93,3.0,413.02,48.3,199.49
ORD-000112,2024-02-23,CUST-01797,Ravi Hill,45,Male,Latin America,Brazil,Beauty & Personal Care,Fenty Beauty Foundation,2,35.79,7.0,66.57,55.1,36.68
ORD-000113,2024-02-23,CUST-00554,Charles Williams,52,Male,Latin America,Brazil,Electronics,Dell XPS 15 Laptop,1,1505.72,7.0,1400.32,17.1,239.45
ORD-000114,2024-02-24,CUST-00281,Mason Wang,41,Female,Middle East,UAE,Clothing,Levi's 501 Jeans,3,72.99,16.0,183.93,44.1,81.11
ORD-000115,2024-02-24,CUST-01029,Amelia Garcia,47,Female,North America,USA,Sports & Outdoors,Yoga Mat Premium Non-Slip,1,57.36,0.0,57.36,34.3,19.67
ORD-000116,2024-02-24,CUST-00231,Linda Singh,19,Male,Latin America,Argentina,Beauty & Personal Care,Foreo LUNA Face Massager,2,128.9,18.0,211.4,41.8,88.37
ORD-000117,2024-02-25,CUST-01025,John Jackson,18,Male,North America,USA,Electronics,Samsung Galaxy S24,1,906.48,15.0,770.51,16.3,125.59
ORD-000118,2024-02-25,CUST-00208,Yuki Kim,32,Male,Asia Pacific,Australia,Clothing,Ray-Ban Aviator Sunglasses,3,159.33,12.0,420.63,33.8,142.17
ORD-000119,2024-02-25,CUST-01707,Hana Jones,49,Female,Middle East,UAE,Beauty & Personal Care,Moroccanoil Hair Oil,1,28.84,18.0,23.65,38.8,9.18
ORD-000120,2024-02-25,CUST-00927,Hana Smith,38,Male,North America,Canada,Home & Kitchen,Roomba i7+ Robot Vacuum,2,743.02,10.0,1337.44,39.2,524.28
ORD-000121,2024-02-25,CUST-01693,Muhammad Lee,39,Male,Latin America,Colombia,Clothing,North Face Fleece Jacket,2,130.78,28.0,188.32,45.0,84.74
ORD-000122,2024-02-26,CUST-01690,Ana Jones,42,Female,Europe,Spain,Electronics,"LG OLED 55"" TV",1,1553.2,5.0,1475.54,11.3,166.74
ORD-000123,2024-02-27,CUST-01174,Mia Taylor,33,Female,North America,Canada,Home & Kitchen,Dyson V15 Vacuum,1,783.35,14.0,673.68,31.2,210.19
ORD-000124,2024-03-01,CUST-01793,Richard Smith,21,Male,Middle East,UAE,Electronics,Samsung Galaxy S24,2,792.19,3.0,1536.85,12.3,189.03
ORD-000125,2024-03-01,CUST-01031,Ahmed Jones,26,Male,Latin America,Argentina,Sports & Outdoors,Resistance Bands Set,1,35.68,0.0,35.68,28.9,10.31
ORD-000126,2024-03-02,CUST-00595,Layla Smith,41,Male,Middle East,Qatar,Beauty & Personal Care,Dyson Airwrap Styler,3,551.58,19.0,1340.34,46.9,628.62
ORD-000127,2024-03-02,CUST-00539,Sophia Johnson,53,Female,Europe,Germany,Electronics,Apple MacBook Air M2,1,1254.32,15.0,1066.17,19.6,208.97
ORD-000128,2024-03-02,CUST-00919,David Scott,27,Male,Middle East,Saudi Arabia,Beauty & Personal Care,CeraVe Moisturizing Cream,1,17.28,9.0,15.72,35.7,5.61
ORD-000129,2024-03-04,CUST-00336,Emma Miller,55,Female,Europe,Spain,Sports & Outdoors,Trek FX3 Bicycle,3,856.08,16.0,2157.32,33.0,711.92
ORD-000130,2024-03-04,CUST-01156,John Ali,41,Female,North America,USA,Clothing,Under Armour Sports Bra,4,57.32,9.0,208.64,54.3,113.29
ORD-000131,2024-03-05,CUST-00855,Oliver Martinez,18,Female,Europe,Germany,Sports & Outdoors,Camping Sleeping Bag -10°C,1,120.75,0.0,120.75,27.0,32.6
ORD-000132,2024-03-05,CUST-00875,Muhammad Mitchell,57,Female,North America,Mexico,Clothing,Gucci Belt,1,349.56,0.0,349.56,35.5,124.09
ORD-000133,2024-03-05,CUST-00300,Rafael Allen,29,Male,Latin America,Colombia,Electronics,Canon EOS R50 Camera,2,692.2,2.0,1356.71,17.6,238.78
ORD-000134,2024-03-05,CUST-01115,William Jackson,41,Male,Asia Pacific,Australia,Sports & Outdoors,Yoga Mat Premium Non-Slip,2,41.43,0.0,82.86,19.3,15.99
ORD-000135,2024-03-05,CUST-00949,Aiden Mitchell,37,Female,North America,Mexico,Sports & Outdoors,Speedo Swim Goggles,1,35.14,12.0,30.92,34.9,10.79
ORD-000136,2024-03-06,CUST-00382,Fatima Lee,21,Female,Latin America,Brazil,Sports & Outdoors,Garmin GPS Running Watch,3,345.98,4.0,996.42,29.1,289.96
ORD-000137,2024-03-06,CUST-00034,Layla Ahmed,42,Female,Latin America,Brazil,Electronics,Bose SoundLink Speaker,1,169.5,10.0,152.55,19.6,29.9
ORD-000138,2024-03-07,CUST-00056,Wei Garcia,46,Male,Europe,Spain,Home & Kitchen,LED Desk Lamp with USB,2,50.94,10.0,91.69,39.7,36.4
ORD-000139,2024-03-07,CUST-01367,Liam Taylor,44,Female,Asia Pacific,Singapore,Beauty & Personal Care,Fenty Beauty Foundation,3,39.13,9.0,106.82,51.3,54.8
ORD-000140,2024-03-07,CUST-01742,Yuki Mitchell,38,Female,Europe,Germany,Electronics,Kindle Paperwhite,1,130.12,12.0,114.51,16.2,18.55
ORD-000141,2024-03-08,CUST-01545,Oliver Adams,41,Female,Middle East,Qatar,Home & Kitchen,French Press Coffee Maker,1,25.8,9.0,23.48,21.1,4.95
ORD-000142,2024-03-08,CUST-00217,Aiden Johnson,37,Male,North America,Mexico,Electronics,GoPro Hero 12,1,469.56,6.0,441.39,16.7,73.71
ORD-000143,2024-03-09,CUST-00658,Susan Martin,40,Male,Middle East,Saudi Arabia,Home & Kitchen,LED Desk Lamp with USB,3,52.81,12.0,139.42,38.3,53.4
ORD-000144,2024-03-09,CUST-00102,Amelia Wang,39,Male,Middle East,Saudi Arabia,Electronics,Dell XPS 15 Laptop,2,1282.01,0.0,2564.02,8.8,225.63
ORD-000145,2024-03-10,CUST-00260,Patricia Anderson,34,Male,Latin America,Colombia,Home & Kitchen,Instant Pot Duo 7-in-1,2,116.07,0.0,232.14,35.6,82.64
ORD-000146,2024-03-10,CUST-01602,Rafael Flores,31,Male,Asia Pacific,South Korea,Electronics,iPad Pro 11-inch,1,998.28,0.0,998.28,12.4,123.79
ORD-000147,2024-03-10,CUST-00376,Riley Walker,18,Female,Middle East,Qatar,Clothing,Levi's 501 Jeans,2,67.13,22.0,104.72,45.3,47.44
ORD-000148,2024-03-10,CUST-00310,Mary Nguyen,41,Female,Europe,Italy,Clothing,Levi's 501 Jeans,3,74.22,0.0,222.66,48.7,108.44
ORD-000149,2024-03-10,CUST-01046,Charlotte Walker,35,Female,Europe,Germany,Beauty & Personal Care,La Mer Moisturizing Cream,3,201.1,13.0,524.87,59.4,311.77
ORD-000150,2024-03-10,CUST-00553,Riley Taylor,19,Female,Middle East,Qatar,Sports & Outdoors,Wilson Tennis Racket Pro,3,148.77,23.0,343.66,24.7,84.88
ORD-000151,2024-03-11,CUST-00877,Lucas Baker,36,Female,Asia Pacific,Australia,Electronics,Samsung Galaxy S24,1,946.05,0.0,946.05,11.1,105.01
ORD-000152,2024-03-11,CUST-01486,Liam Green,51,Female,Europe,Spain,Clothing,Under Armour Sports Bra,4,47.18,29.0,133.99,54.8,73.43
ORD-000153,2024-03-12,CUST-00009,Jennifer Roberts,37,Female,Latin America,Brazil,Electronics,USB-C Hub 7-in-1,1,64.26,0.0,64.26,9.0,5.78
ORD-000154,2024-03-12,CUST-01100,Layla Miller,33,Male,Latin America,Colombia,Electronics,Canon EOS R50 Camera,1,849.67,14.0,730.72,16.1,117.65
ORD-000155,2024-03-12,CUST-00348,Wei Lee,28,Male,Asia Pacific,Singapore,Sports & Outdoors,Foam Roller Set,1,41.49,0.0,41.49,21.2,8.8
ORD-000156,2024-03-12,CUST-00732,Richard Anderson,36,Female,Asia Pacific,India,Sports & Outdoors,Trek FX3 Bicycle,2,803.79,5.0,1527.2,19.8,302.39
ORD-000157,2024-03-12,CUST-00479,William Wang,29,Female,North America,USA,Home & Kitchen,Nespresso Vertuo Coffee Machine,1,176.29,10.0,158.66,23.2,36.81
ORD-000158,2024-03-13,CUST-00496,Ali Martin,28,Male,North America,Canada,Electronics,USB-C Hub 7-in-1,2,57.78,0.0,115.56,10.8,12.48
ORD-000159,2024-03-13,CUST-01365,Michael Mitchell,19,Female,Asia Pacific,India,Beauty & Personal Care,La Mer Moisturizing Cream,4,262.64,0.0,1050.56,58.8,617.73
